"";"loss";"acs0";"dacs";"prec";"seas";"bd"
"mean";27,0235882955624;151,569871495048;-3,86505410481549;2219,56704980843;56,9310344827586;1,36584291187739
"sd";17,0724308698154;52,1100703472235;22,1970272841602;447,106861275607;14,7597209088732;0,0920472956830365
